Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,2044.73,наличный,Могилев,МаксБанк-IIFN-588,2000-01-04,13:04:15,недостаточно средств,да,82.6
физ. лицо,получение средств,4192.65,наличный,Гомель,Беларусбанк-MZVZ-832,2012-06-10,23:29:26,успешно,нет,0.0
юр. лицо,списание средств,2278.83,безналичный,Минск,МаксБанк-XQQX-147,2001-11-04,04:26:56,недостаточно средств,да,114.29
физ. лицо,получение средств,4290.17,безналичный,Брест,БелАгропромбанк-DTCO-141,2007-10-12,04:42:12,успешно,нет,0.0
физ. лицо,получение средств,3926.05,безналичный,Гродно,Белинвестбанк-SETP-064,2004-06-04,10:23:37,успешно,нет,0.0
юр. лицо,получение средств,1977.41,наличный,Могилев,МаксБанк-CJYW-791,2000-03-04,23:16:30,успешно,нет,0.0
юр. лицо,получение средств,3849.51,наличный,Гродно,БелАгропромбанк-GQYT-381,2000-08-09,02:02:53,успешно,нет,0.0
физ. лицо,получение средств,3263.56,наличный,Гомель,БелАгропромбанк-PDPK-099,2004-08-05,19:56:10,успешно,нет,0.0
юр. лицо,получение средств,1406.85,наличный,Гродно,МаксБанк-RKNV-417,2006-08-12,08:45:11,успешно,нет,0.0
физ. лицо,получение средств,2335.26,безналичный,Брест,Белинвестбанк-MIJE-292,2008-02-10,10:57:05,успешно,нет,0.0
физ. лицо,получение средств,3843.98,безналичный,Брест,Белинвестбанк-EVZK-711,2003-07-09,06:17:40,успешно,нет,0.0
юр. лицо,получение средств,505.36,безналичный,Гродно,Беларусбанк-MOJK-905,2011-07-10,23:59:02,успешно,нет,0.0
юр. лицо,списание средств,374.86,безналичный,Витебск,Приорбанк-ORLI-888,2010-09-07,06:50:02,неправильный ввод пин-кода,да,12.93
юр. лицо,получение средств,3488.07,безналичный,Витебск,Белинвестбанк-VXWE-375,2003-06-11,03:15:18,успешно,нет,0.0
юр. лицо,списание средств,2716.73,наличный,Брест,Приорбанк-LGAO-012,2009-09-07,19:11:01,недостаточно средств,да,149.33
юр. лицо,получение средств,517.83,безналичный,Минск,Приорбанк-QYLD-160,2001-07-08,07:19:21,успешно,нет,0.0
физ. лицо,получение средств,280.25,безналичный,Гомель,БелАгропромбанк-RTBA-086,2000-09-05,06:25:52,успешно,нет,0.0
юр. лицо,получение средств,1850.71,наличный,Гродно,Белинвестбанк-UWRH-627,2005-01-01,15:13:36,успешно,нет,0.0
физ. лицо,списание средств,4859.9,безналичный,Витебск,Беларусбанк-DUXY-260,2008-04-12,12:49:08,недостаточно средств,нет,0.0
юр. лицо,списание средств,3867.1,безналичный,Брест,МаксБанк-LQVS-882,2003-11-06,23:11:22,недостаточно средств,да,96.8
юр. лицо,списание средств,2947.63,наличный,Минск,Беларусбанк-ORKZ-157,2003-11-08,17:55:35,успешно,нет,0.0
физ. лицо,получение средств,4545.8,наличный,Гомель,Беларусбанк-TNJQ-545,2003-09-03,17:10:25,успешно,нет,0.0
юр. лицо,получение средств,1040.91,безналичный,Брест,МаксБанк-TQYQ-693,2013-10-05,10:51:37,успешно,нет,0.0
юр. лицо,списание средств,2489.97,наличный,Витебск,Белинвестбанк-JOBT-010,2011-03-05,21:04:34,недостаточно средств,да,219.05
физ. лицо,списание средств,3412.74,наличный,Витебск,БелАгропромбанк-WMXO-965,2011-11-07,00:40:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2066.31,безналичный,Гродно,Белинвестбанк-ULLP-646,2005-06-01,04:11:16,неправильный ввод пин-кода,да,32.68
юр. лицо,списание средств,2713.26,наличный,Брест,Белинвестбанк-CVUK-754,2010-09-08,06:22:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,12.62,наличный,Могилев,Приорбанк-VZPK-867,2002-04-08,09:03:18,неправильный ввод пин-кода,да,0.23
юр. лицо,получение средств,2780.36,безналичный,Могилев,БелАгропромбанк-DMGL-125,2003-08-09,22:37:25,успешно,нет,0.0
физ. лицо,получение средств,4065.49,безналичный,Витебск,Белинвестбанк-DVWN-781,2005-11-04,09:08:33,успешно,нет,0.0
юр. лицо,получение средств,801.19,безналичный,Гомель,Беларусбанк-BLHA-695,2003-05-01,12:08:36,успешно,нет,0.0
юр. лицо,получение средств,3245.38,безналичный,Минск,МаксБанк-YGKA-649,2009-12-12,01:35:35,успешно,нет,0.0
юр. лицо,получение средств,1863.33,наличный,Могилев,Белинвестбанк-OMUV-368,2002-02-09,16:25:49,успешно,нет,0.0
физ. лицо,списание средств,2176.75,безналичный,Гомель,МаксБанк-PBRS-203,2008-09-12,11:53:18,недостаточно средств,нет,0.0
юр. лицо,получение средств,2447.55,наличный,Гродно,БелАгропромбанк-DQNV-017,2005-01-07,23:13:04,успешно,нет,0.0
юр. лицо,списание средств,2029.54,наличный,Брест,Приорбанк-ORVT-062,2008-04-12,15:54:34,недостаточно средств,да,89.19
юр. лицо,получение средств,616.0,наличный,Витебск,Белинвестбанк-WVYI-100,2013-02-08,01:45:06,успешно,нет,0.0
юр. лицо,списание средств,1041.76,наличный,Минск,Приорбанк-VUAJ-053,2009-04-10,00:00:27,неправильный ввод пин-кода,да,20.77
физ. лицо,получение средств,2480.33,наличный,Брест,Беларусбанк-MTTB-097,2011-12-02,04:39:22,успешно,нет,0.0
