Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,4459.99,безналичный,Гомель,Беларусбанк-OBYR-600,2022-09-02,22:59:22,успешно,нет,0.0
физ. лицо,получение средств,2999.49,безналичный,Минск,Приорбанк-VIOF-537,2018-10-04,18:48:33,успешно,нет,0.0
юр. лицо,получение средств,2252.19,наличный,Брест,Приорбанк-OGCM-767,2022-08-03,14:09:18,успешно,нет,0.0
физ. лицо,получение средств,2837.63,безналичный,Витебск,Беларусбанк-OLMG-873,2018-01-11,01:26:05,успешно,нет,0.0
юр. лицо,списание средств,2626.31,безналичный,Брест,Приорбанк-WTAC-715,2015-06-12,14:10:07,успешно,да,206.89
юр. лицо,списание средств,1644.47,наличный,Минск,Беларусбанк-FQMJ-664,2016-08-09,23:13:33,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4471.97,безналичный,Гродно,Беларусбанк-FENV-012,2017-05-11,15:13:50,недостаточно средств,нет,0.0
физ. лицо,списание средств,649.83,наличный,Гомель,МаксБанк-KDRU-654,2021-01-02,11:45:59,успешно,нет,0.0
юр. лицо,списание средств,344.5,безналичный,Брест,Белинвестбанк-QSSA-396,2022-04-04,12:41:46,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3738.25,наличный,Брест,Беларусбанк-KANI-740,2021-10-04,21:05:58,успешно,нет,0.0
физ. лицо,списание средств,4117.37,наличный,Витебск,Приорбанк-HEFI-564,2020-06-01,18:50:08,недостаточно средств,нет,0.0
физ. лицо,списание средств,3114.83,безналичный,Гродно,Беларусбанк-ELOO-452,2015-06-01,06:51:18,неправильный ввод пин-кода,да,264.33
юр. лицо,списание средств,3850.15,наличный,Гомель,БелАгропромбанк-XYRM-097,2024-05-10,01:10:39,неправильный ввод пин-кода,да,44.12
физ. лицо,списание средств,39.84,наличный,Минск,МаксБанк-YCJN-975,2020-11-11,12:56:08,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1005.15,безналичный,Минск,МаксБанк-GNPL-945,2021-03-01,10:47:28,успешно,нет,0.0
юр. лицо,списание средств,4790.4,наличный,Гомель,Беларусбанк-NGMT-819,2022-12-10,22:13:12,успешно,нет,0.0
физ. лицо,получение средств,4083.27,безналичный,Витебск,Белинвестбанк-LUCD-346,2020-08-05,01:13:36,успешно,нет,0.0
юр. лицо,списание средств,1304.0,наличный,Минск,Беларусбанк-KNOZ-074,2020-03-07,19:33:58,неправильный ввод пин-кода,да,42.5
физ. лицо,получение средств,626.11,наличный,Гомель,Беларусбанк-RUZR-193,2019-02-03,11:46:26,успешно,нет,0.0
юр. лицо,списание средств,3421.42,наличный,Гомель,БелАгропромбанк-IAHJ-357,2024-10-08,15:02:02,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3820.51,безналичный,Могилев,Белинвестбанк-WJCL-500,2021-07-02,05:13:25,неправильный ввод пин-кода,да,102.39
физ. лицо,получение средств,4577.36,безналичный,Минск,Приорбанк-WGAF-065,2015-12-12,22:34:15,успешно,нет,0.0
юр. лицо,получение средств,4021.03,наличный,Гродно,Приорбанк-AJTO-100,2016-08-04,11:56:29,успешно,нет,0.0
юр. лицо,списание средств,687.12,наличный,Могилев,Белинвестбанк-LTRC-765,2016-09-05,01:21:02,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3759.26,безналичный,Минск,БелАгропромбанк-UHCV-521,2022-07-02,21:45:46,успешно,нет,0.0
юр. лицо,списание средств,3418.47,наличный,Минск,Белинвестбанк-FWKY-044,2015-11-05,07:50:46,успешно,нет,0.0
физ. лицо,получение средств,3322.41,наличный,Гродно,Приорбанк-RCJF-888,2023-11-01,21:15:50,успешно,нет,0.0
юр. лицо,получение средств,1000.81,наличный,Брест,Белинвестбанк-TKWK-287,2019-06-07,20:04:31,успешно,нет,0.0
юр. лицо,получение средств,4031.47,безналичный,Витебск,БелАгропромбанк-XRNG-447,2015-03-04,02:21:06,успешно,нет,0.0
юр. лицо,списание средств,2648.43,наличный,Могилев,МаксБанк-JNAI-816,2021-02-05,20:28:06,недостаточно средств,нет,0.0
физ. лицо,списание средств,2962.95,наличный,Брест,БелАгропромбанк-GKUI-085,2018-01-12,04:21:22,недостаточно средств,да,178.77
физ. лицо,получение средств,4757.1,наличный,Гродно,МаксБанк-UDKJ-918,2022-02-07,00:14:20,успешно,нет,0.0
юр. лицо,списание средств,1098.21,наличный,Могилев,Беларусбанк-TRGE-546,2018-12-07,15:01:44,неправильный ввод пин-кода,да,104.45
физ. лицо,получение средств,3547.2,наличный,Витебск,Белинвестбанк-SJXS-035,2017-11-05,07:06:24,успешно,нет,0.0
юр. лицо,получение средств,2232.46,безналичный,Витебск,Белинвестбанк-CJVS-254,2017-09-11,20:29:59,успешно,нет,0.0
физ. лицо,списание средств,1204.38,безналичный,Гродно,БелАгропромбанк-CPZD-033,2024-09-09,04:42:43,недостаточно средств,да,104.79
физ. лицо,списание средств,1548.39,наличный,Брест,Беларусбанк-FQDU-682,2020-06-07,09:04:00,успешно,нет,0.0
юр. лицо,получение средств,4684.15,безналичный,Гомель,МаксБанк-CRPZ-255,2021-03-07,12:23:20,успешно,нет,0.0
юр. лицо,получение средств,509.8,наличный,Могилев,Беларусбанк-UQZT-130,2023-11-08,08:34:48,успешно,нет,0.0
юр. лицо,получение средств,4212.6,безналичный,Гомель,БелАгропромбанк-DVLJ-102,2022-11-01,00:02:28,успешно,нет,0.0
физ. лицо,списание средств,1947.7,наличный,Витебск,Приорбанк-EELX-304,2014-04-11,19:27:21,недостаточно средств,да,133.11
юр. лицо,списание средств,901.63,безналичный,Минск,Приорбанк-UEIE-512,2019-11-10,17:41:35,неправильный ввод пин-кода,да,23.84
юр. лицо,получение средств,1029.42,безналичный,Гомель,Белинвестбанк-JRBR-962,2016-02-11,16:36:11,успешно,нет,0.0
физ. лицо,получение средств,941.6,наличный,Витебск,БелАгропромбанк-OCEA-310,2020-04-10,23:48:49,успешно,нет,0.0
юр. лицо,списание средств,982.85,наличный,Могилев,МаксБанк-WXUF-528,2023-01-07,10:09:17,недостаточно средств,нет,0.0
физ. лицо,получение средств,3916.88,безналичный,Гомель,Белинвестбанк-SSRO-947,2019-10-02,04:44:42,успешно,нет,0.0
юр. лицо,списание средств,3432.05,наличный,Гомель,Белинвестбанк-YUVR-834,2022-06-09,06:39:43,успешно,нет,0.0
юр. лицо,списание средств,727.95,наличный,Гродно,МаксБанк-IQUN-115,2024-10-09,09:56:04,недостаточно средств,нет,0.0
юр. лицо,получение средств,2092.58,наличный,Могилев,Белинвестбанк-BNAI-360,2014-01-01,03:05:55,успешно,нет,0.0
физ. лицо,получение средств,3274.86,наличный,Минск,Беларусбанк-LASW-028,2023-03-09,17:36:13,успешно,нет,0.0
физ. лицо,получение средств,3981.62,наличный,Гомель,Белинвестбанк-HMSP-147,2016-03-08,18:51:23,успешно,нет,0.0
юр. лицо,списание средств,2490.88,наличный,Минск,Беларусбанк-QNNW-663,2019-01-05,17:11:56,недостаточно средств,да,36.7
юр. лицо,получение средств,3562.84,безналичный,Витебск,Беларусбанк-BJYO-426,2016-11-03,08:56:07,успешно,нет,0.0
юр. лицо,списание средств,2697.25,безналичный,Витебск,Белинвестбанк-MXGI-794,2021-07-07,20:37:17,неправильный ввод пин-кода,да,119.08
юр. лицо,списание средств,1966.51,безналичный,Гродно,Приорбанк-YCRY-660,2021-07-10,07:08:21,неправильный ввод пин-кода,да,90.22
юр. лицо,списание средств,2557.56,наличный,Витебск,Беларусбанк-PDWQ-520,2016-11-07,21:18:37,недостаточно средств,нет,0.0
юр. лицо,получение средств,4040.25,безналичный,Брест,Беларусбанк-GNLA-901,2016-09-03,21:35:53,успешно,нет,0.0
физ. лицо,получение средств,1019.98,наличный,Брест,Приорбанк-LIUR-475,2021-03-04,10:50:15,успешно,нет,0.0
физ. лицо,получение средств,680.97,наличный,Минск,Белинвестбанк-NEOB-642,2017-12-12,07:15:43,успешно,нет,0.0
юр. лицо,получение средств,3818.73,наличный,Гомель,Беларусбанк-TKPY-500,2019-11-08,02:52:25,успешно,нет,0.0
физ. лицо,получение средств,571.89,наличный,Могилев,МаксБанк-YHHA-696,2021-07-10,08:50:18,успешно,нет,0.0
юр. лицо,списание средств,4698.95,наличный,Минск,Приорбанк-GGEH-569,2019-05-01,17:27:19,неправильный ввод пин-кода,да,398.99
юр. лицо,получение средств,2792.07,наличный,Гомель,Беларусбанк-DSDJ-504,2020-01-09,17:19:04,успешно,нет,0.0
физ. лицо,списание средств,2373.23,безналичный,Гомель,МаксБанк-SJWN-747,2021-10-09,07:53:37,недостаточно средств,да,25.66
юр. лицо,получение средств,667.57,безналичный,Гродно,Беларусбанк-ZIHR-967,2023-06-02,23:48:22,успешно,нет,0.0
физ. лицо,получение средств,2557.59,безналичный,Брест,МаксБанк-QTQY-916,2022-04-11,19:32:41,успешно,нет,0.0
физ. лицо,получение средств,4184.65,наличный,Витебск,БелАгропромбанк-AQMK-631,2023-11-10,06:07:30,успешно,нет,0.0
физ. лицо,получение средств,3013.51,наличный,Брест,БелАгропромбанк-EDEX-650,2015-08-03,10:24:28,успешно,нет,0.0
физ. лицо,списание средств,890.96,наличный,Витебск,Приорбанк-JQVQ-250,2015-06-06,09:59:41,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1122.83,наличный,Брест,БелАгропромбанк-NKEI-719,2015-11-12,05:24:25,недостаточно средств,нет,0.0
юр. лицо,списание средств,4048.31,безналичный,Витебск,Приорбанк-QEQM-438,2016-10-11,22:27:17,недостаточно средств,нет,0.0
физ. лицо,списание средств,883.96,безналичный,Брест,Беларусбанк-JCTE-251,2023-12-06,20:23:45,неправильный ввод пин-кода,да,19.26
физ. лицо,получение средств,2528.99,безналичный,Брест,МаксБанк-ODBO-085,2022-03-09,15:36:57,успешно,нет,0.0
физ. лицо,получение средств,4201.0,наличный,Гродно,Приорбанк-CSQI-816,2014-03-03,00:55:10,успешно,нет,0.0
физ. лицо,получение средств,4178.14,безналичный,Брест,Приорбанк-MUXE-279,2024-11-10,23:16:30,успешно,нет,0.0
физ. лицо,получение средств,3557.77,безналичный,Минск,Беларусбанк-DPQL-743,2021-05-04,06:38:19,успешно,нет,0.0
физ. лицо,списание средств,3539.44,безналичный,Витебск,Белинвестбанк-TQSF-814,2016-10-01,10:10:27,успешно,да,192.84
физ. лицо,списание средств,807.07,наличный,Минск,БелАгропромбанк-PCGJ-206,2014-02-01,05:24:42,недостаточно средств,да,13.78
физ. лицо,получение средств,963.16,наличный,Могилев,Беларусбанк-BEIH-783,2016-02-01,06:41:10,успешно,нет,0.0
физ. лицо,получение средств,4188.84,наличный,Брест,МаксБанк-OCUF-979,2022-10-03,16:39:52,успешно,нет,0.0
физ. лицо,получение средств,2068.79,наличный,Гомель,Приорбанк-OUJY-995,2020-01-03,18:47:30,успешно,нет,0.0
юр. лицо,списание средств,2421.55,наличный,Гродно,Приорбанк-ECMC-342,2014-10-05,03:31:17,недостаточно средств,да,78.81
юр. лицо,получение средств,945.99,наличный,Могилев,Белинвестбанк-UWWT-588,2022-02-03,13:06:27,успешно,нет,0.0
юр. лицо,получение средств,1894.09,безналичный,Гомель,Беларусбанк-PAMI-136,2023-06-04,04:44:52,успешно,нет,0.0
физ. лицо,получение средств,759.97,наличный,Витебск,БелАгропромбанк-DLHG-619,2014-11-07,03:04:00,успешно,нет,0.0
юр. лицо,списание средств,986.61,безналичный,Брест,Белинвестбанк-IOWL-659,2021-01-10,14:02:12,успешно,да,90.1
физ. лицо,списание средств,838.75,наличный,Минск,Приорбанк-OADX-513,2020-06-09,20:40:30,успешно,нет,0.0
юр. лицо,получение средств,187.44,безналичный,Гродно,БелАгропромбанк-IKVK-017,2019-04-02,20:04:34,успешно,нет,0.0
физ. лицо,получение средств,2827.77,безналичный,Гродно,Белинвестбанк-TDYD-524,2019-06-12,08:56:52,успешно,нет,0.0
физ. лицо,получение средств,1159.55,наличный,Брест,МаксБанк-IEFA-042,2017-12-02,09:37:39,успешно,нет,0.0
физ. лицо,получение средств,3569.59,наличный,Брест,Белинвестбанк-NXTZ-645,2020-06-12,13:43:08,успешно,нет,0.0
физ. лицо,получение средств,465.02,безналичный,Могилев,Белинвестбанк-WDRA-706,2019-04-09,13:40:37,успешно,нет,0.0
физ. лицо,списание средств,1441.53,наличный,Гродно,МаксБанк-WOYW-588,2020-03-03,11:02:23,успешно,да,48.76
юр. лицо,получение средств,3133.29,наличный,Минск,БелАгропромбанк-MOCR-573,2018-11-11,15:06:27,успешно,нет,0.0
физ. лицо,списание средств,3057.86,безналичный,Витебск,Белинвестбанк-QLEF-229,2015-07-07,17:45:10,недостаточно средств,нет,0.0
юр. лицо,получение средств,4948.22,наличный,Гродно,Белинвестбанк-SWRZ-665,2023-02-12,14:51:58,успешно,нет,0.0
юр. лицо,получение средств,837.6,наличный,Минск,МаксБанк-VTFG-823,2024-03-03,09:31:01,успешно,нет,0.0
юр. лицо,получение средств,2318.09,безналичный,Минск,Беларусбанк-WYSY-078,2022-03-12,04:30:17,успешно,нет,0.0
физ. лицо,списание средств,3353.53,безналичный,Витебск,Беларусбанк-YYQN-528,2017-07-01,15:20:40,успешно,да,43.04
физ. лицо,списание средств,3238.02,наличный,Гродно,МаксБанк-FJTM-635,2020-06-08,10:33:40,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4940.36,наличный,Гродно,Белинвестбанк-OWYW-310,2016-09-01,15:23:47,успешно,нет,0.0
юр. лицо,получение средств,1689.48,наличный,Могилев,БелАгропромбанк-MUOH-379,2018-06-01,05:16:07,успешно,нет,0.0
физ. лицо,списание средств,867.42,наличный,Гродно,Приорбанк-LUBQ-700,2014-03-03,05:00:19,неправильный ввод пин-кода,да,47.14
физ. лицо,списание средств,3019.98,наличный,Гомель,Белинвестбанк-IVJR-659,2022-12-01,07:28:08,успешно,да,259.23
физ. лицо,получение средств,3607.08,наличный,Витебск,МаксБанк-KGUG-268,2020-06-05,06:38:00,успешно,нет,0.0
